,GENE,GSM282000,GSM282001,GSM282002
5822,SO2643F,-1.270289754,-1.130762848,-1.66030412
5823,SO2643F,-0.818655812,-0.601218882,-1.719762856
5824,SO2644,1.533729175,1.435587631,1.303925517
5825,SO2644,1.593025818,1.584329101,1.001710164
5826,SO2645,0.322131623,0.450289937,0.107648399
5827,SO2645,0.396565847,0.635122802,-0.131927128
5828,SO2646,0.587520234,0.503087766,0.202787577
5829,SO2646,0.501684061,0.686909852,0.052251445
5830,SO2647,0.637882455,0.489047094,-0.283243346
5831,SO2647,0.497012579,0.53928585,0.137456181
5832,SO2648,-0.584177917,-0.607844342,-0.717893803
5833,SO2648,-0.384449477,-0.568037538,-0.759235406
5834,SO2649,0.053942297,0.342676134,-0.261455205
5835,SO2649,-0.243304099,0.029388436,-0.443514347
5836,SO2650,0.268407382,0.199058887,0.15945251
5837,SO2650,0.251251944,0.182379698,-0.161299696
5838,SO2651,-0.287974185,-0.087547023,-0.423024131
5839,SO2651,-0.023346352,0.111755356,-0.303235953
5840,SO2651F,-0.305119439,-0.554682616,-1.104808598
5841,SO2651F,-0.472011472,-0.118585568,-0.495663472
5842,SO2652,-0.150638207,-0.017362375,-0.272986592
5843,SO2652,-0.119685531,-0.201174911,-0.548879028
5844,SO2653,-0.694040568,-0.722779905,-0.663710489
5845,SO2653,-0.079592871,-0.232788252,-0.620509902
5846,SO2654,-0.229628806,0.088534582,-0.41258728
5847,SO2654,-0.442405019,-0.023634197,-0.314669929
5848,SO2654F,-0.190042717,-0.121812846,-0.749667724
5849,SO2654F,-0.329798681,-0.230685885,-1.078476462
